Prix,Prix_Log,Annee,Kilometrage,Usage_Intensity,Marque_Alfa,Marque_Audi,Marque_Autre,Marque_BMW,Marque_Citroën,Marque_Dacia,Marque_Fiat,Marque_Ford,Marque_Hyundai,Marque_Jaguar,Marque_Jeep,Marque_Kia,Marque_Land Rover,Marque_Mercedes-Benz,Marque_Nissan,Marque_Opel,Marque_Peugeot,Marque_Renault,Marque_Seat,Marque_Skoda,Marque_Toyota,Marque_Volkswagen,Marque_Volvo,Ville_Agadir,Ville_Autres,Ville_Casablanca,Ville_Marrakech,Ville_Rabat,Ville_Tanger,Transmission_Automatique,Transmission_Manuelle,Carburant_Diesel,Carburant_Electrifié,Carburant_Essence
210000.0,12.25486757159303,0.9244122046897114,-0.2983194877031006,0.5435440152074192,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
260000.0,12.468440756144114,0.7172163657075395,-0.46681296582690296,-0.5047947840812042,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
98000.0,11.49273296168228,-0.7331545071676632,-0.19702666738554722,-0.6988658449919471,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
190000.0,12.154784614286667,0.09562884876102412,6.125961296407542,12.057647242241208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
249000.0,12.425212191503038,0.9244122046897114,-0.3752011741260549,0.19199588056117636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
265000.0,12.487488878546145,0.9244122046897114,-0.19571303584977565,1.0127208560127252,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
172000.0,12.055255569732177,-0.11156699022114769,0.2387565866874573,0.28822752082798286,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
200000.0,12.206077645517674,0.30282468774319593,-0.02801645268606219,0.2205347909978805,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
163000.0,12.001511614739405,0.7172163657075395,0.1990114505530221,1.7786098452012307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
173500.0,12.063938642041201,0.7172163657075395,-0.5024864667746338,-0.6271349013896687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
310000.0,12.644330802262578,0.9244122046897114,-0.5830102121948696,-0.7582288490814614,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
315000.0,12.660331092405906,0.5100205267253678,-0.3288443001196319,-0.2930033307386136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
273000.0,12.51723073716405,0.5100205267253678,-0.4363690880547557,-0.5880031444956104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
280000.0,12.54254845357358,0.30282468774319593,-0.4110676730719323,-0.6552325618395708,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
185000.0,12.128116509451258,0.5100205267253678,-0.3612617380663744,-0.3819422474332278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
65000.0,11.082157933374816,-1.5619378630963503,0.7406945739315941,-0.01186161334130496,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
270000.0,12.506180941677357,-0.11156699022114769,-0.04997464428163753,-0.20686563976666433,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
270000.0,12.506180941677357,-0.11156699022114769,-0.04997464428163753,-0.20686563976666433,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
