Prix,Ville,Annee,Kilometrage,Transmission,Carburant,Marque,Modele,Prix_Log
240000.0,Casablanca,2019.0,116000,Automatique,Diesel,Audi,A3,12.388398368982115
150000.0,Casablanca,2021.0,132638,Manuelle,Diesel,Renault,Clio,11.918397239722838
197000.0,Casablanca,2018.0,184500,Manuelle,Diesel,Hyundai,Tucson,12.190964083849375
140000.0,Casablanca,2021.0,169000,Manuelle,Diesel,Dacia,Dokker,11.849404844423074
125000.0,Casablanca,2020.0,130000,Manuelle,Diesel,Peugeot,301,11.736077016252437
140000.0,Tanger,2019.0,120000,Automatique,Diesel,Alfa,Romeo Giulietta,11.849404844423074
495000.0,Agadir,2024.0,37800,Automatique,Diesel,Audi,A3,13.112315061750808
346000.0,Marrakech,2025.0,31000,Automatique,Diesel,Cupra,Formentor,12.754196944209095
299000.0,Marrakech,2022.0,75000,Automatique,Hybride,Hyundai,Tucson,12.608202196848836
70000.0,Kénitra,2020.0,85000,Manuelle,Diesel,Dacia,Dokker,11.156264806643742
293000.0,Casablanca,2018.0,107105,Automatique,Diesel,Lexus,NX,12.587931300962664
170000.0,Casablanca,2015.0,118900,Automatique,Diesel,Land Rover,Range Rover Evoque,12.04355959836804
135000.0,Casablanca,2015.0,123006,Manuelle,Diesel,Jeep,Renegade,11.813037464800539
188000.0,Casablanca,2019.0,107000,Manuelle,Diesel,Nissan,Qashqai,12.144202560946876
142000.0,Casablanca,2020.0,144400,Manuelle,Diesel,Volkswagen,Caddy,11.863589378812122
160000.0,Casablanca,2022.0,44000,Manuelle,Diesel,Dacia,Logan,11.982935344196433
198000.0,Casablanca,2019.0,107000,Automatique,Diesel,Skoda,Superb,12.19602736016897
135000.0,Oujda,2020.0,102000,Manuelle,Diesel,Renault,Clio,11.813037464800539
315000.0,Rabat,2019.0,177000,Automatique,Diesel,BMW,X3,12.660331092405906
225000.0,Agadir,2018.0,178000,Manuelle,Diesel,Hyundai,Tucson,12.323860125621126
145000.0,Casablanca,2015.0,178000,Manuelle,Diesel,Nissan,Qashqai,11.884495917930655
106000.0,Agadir,2007.0,260000,Manuelle,Diesel,Mercedes-Benz,220,11.571203807011969
115000.0,Kénitra,2016.0,160000,Manuelle,Diesel,Volkswagen,Polo,11.652696102959753
210000.0,Casablanca,2024.0,66110,Automatique,Diesel,Renault,Arkana,12.25486757159303
265000.0,Casablanca,2020.0,70000,Automatique,Diesel,BMW,Série 1,12.487488878546145
249000.0,Casablanca,2024.0,71459,Automatique,Diesel,Renault,Megane,12.425212191503038
242000.0,Casablanca,2017.0,183135,Automatique,Diesel,BMW,X5,12.396697137361691
310000.0,Tétouan,2025.0,24000,Automatique,Diesel,Hyundai,Tucson,12.644330802262578
175000.0,Casablanca,2024.0,75060,Manuelle,Diesel,Renault,Clio,12.07254696717504
175000.0,Casablanca,2025.0,63958,Manuelle,Diesel,Renault,Clio,12.07254696717504
159000.0,Rabat,2021.0,102000,Manuelle,Diesel,Ford,Fiesta,11.976665770490767
235000.0,Tanger,2020.0,65000,Automatique,Diesel,Citroën,C5 Aircross,12.367345048436391
25000.0,Casablanca,2008.0,120000,Manuelle,Diesel,Peugeot,206,10.12667110305036
163000.0,Casablanca,2021.0,92000,Manuelle,Diesel,Dacia,Lodgy,12.001511614739405
314000.0,Casablanca,2020.0,167922,Automatique,Diesel,Audi,A6,12.657151449598695
167000.0,Marrakech,2020.0,148000,Automatique,Diesel,Renault,Megane,12.025755079404917
95000.0,Safi,2017.0,87000,Manuelle,Essence,Renault,Clio,11.461642696843066
115000.0,Kénitra,2021.0,96600,Manuelle,Essence,Kia,Picanto,11.652696102959753
149000.0,Casablanca,2023.0,55000,Automatique,Essence,Fiat,500,11.91170829631447
120000.0,Casablanca,2018.0,149000,Automatique,Diesel,Renault,Clio,11.695255355062795
255000.0,Casablanca,2020.0,50000,Automatique,Diesel,Volkswagen,Coccinelle,12.449022745701502
469000.0,Casablanca,2024.0,15000,Automatique,Diesel,Mercedes-Benz,Classe GLA,13.058360179622305
220000.0,Casablanca,2023.0,17200,Automatique,Essence,Hyundai,Autre,12.301387370778713
419000.0,Casablanca,2022.0,70000,Automatique,Diesel,Volkswagen,Touareg,12.945628585536271
158000.0,Casablanca,2022.0,40000,Manuelle,Essence,Toyota,Yaris,11.970356641102999
40000.0,Casablanca,2011.0,120000,Manuelle,Diesel,Ford,Fiesta,10.596659732783579
189900.0,Agadir,2026.0,100,Manuelle,Diesel,Tata,Xenon,12.15425816271595
310000.0,Casablanca,2020.0,74000,Automatique,Diesel,BMW,Série 1,12.644330802262578
124900.0,Agadir,2026.0,100,Manuelle,Diesel,Tata,Super Ace,11.735276702486741
69000.0,Rabat,2006.0,261000,Manuelle,Diesel,Ford,Focus,11.141876276228
182000.0,Casablanca,2025.0,2960,Manuelle,Diesel,Dacia,Autre,12.111767460549332
94000.0,Casablanca,2019.0,90800,Manuelle,Essence,Suzuki,Swift,11.451060699493427
105000.0,Casablanca,2014.0,193000,Manuelle,Diesel,Renault,Megane,11.561725152903833
105000.0,Casablanca,2012.0,220000,Manuelle,Diesel,Audi,A1,11.561725152903833
190000.0,Casablanca,2017.0,125400,Automatique,Diesel,Jeep,Cherokee,12.154784614286667
105000.0,Fès,2024.0,3400,Manuelle,Essence,Yamaha,tracer 7,11.561725152903833
325000.0,Tanger,2024.0,29000,Automatique,Diesel,Kia,Sportage,12.691583538230217
129000.0,Casablanca,2020.0,106000,Manuelle,Diesel,Citroën,C3,11.767575435251748
90000.0,Casablanca,2014.0,184000,Manuelle,Diesel,Dacia,Logan,11.407576060361786
245000.0,Kénitra,2021.0,120000,Automatique,Diesel,Ford,Kuga,12.409017571151187
550000.0,Mohammédia,2025.0,27378,Automatique,Essence,Porsche,Macan,13.217675375388819
138000.0,Casablanca,2018.0,90000,Automatique,Diesel,Renault,Clio,11.835016210489899
130000.0,Casablanca,2019.0,118000,Manuelle,Diesel,Renault,Clio,11.775297421715827
285000.0,Beni Mellal,2018.0,198000,Automatique,Diesel,Volkswagen,Golf 7,12.560247968016562
105000.0,Casablanca,2011.0,279600,Automatique,Diesel,Volkswagen,Touareg,11.561725152903833
125000.0,Tanger,2011.0,260000,Manuelle,Diesel,Volkswagen,Golf 6,11.736077016252437
215000.0,Casablanca,2018.0,133999,Automatique,Diesel,Audi,A4,12.278397958261774
220000.0,Casablanca,2019.0,142113,Manuelle,Diesel,Seat,Leon,12.301387370778713
449000.0,Casablanca,2025.0,18000,Automatique,Diesel,BMW,Série 2,13.014780393893403
440000.0,Casablanca,2022.0,81300,Automatique,Diesel,BMW,Série 5,12.994532278619134
240000.0,Casablanca,2017.0,195000,Automatique,Diesel,Mercedes-Benz,Classe C,12.388398368982115
380000.0,Marrakech,2023.0,7979,Automatique,Diesel,Kia,Sportage,12.847929163278053
225000.0,Agadir,2021.0,84100,Manuelle,Diesel,Kia,Seltos,12.323860125621126
275000.0,Marrakech,2023.0,90341,Automatique,Diesel,Kia,Sportage,12.524530013005734
290000.0,Casablanca,2023.0,21000,Automatique,Diesel,Kia,Sportage,12.577639650232573
269000.0,Casablanca,2025.0,15320,Automatique,Essence,Kia,Seltos,12.502470376049185
231000.0,Casablanca,2021.0,97990,Manuelle,Diesel,Skoda,Kamiq,12.35017731849889
178000.0,Casablanca,2018.0,155000,Manuelle,Diesel,Ford,Kuga,12.08954444723597
249000.0,Agadir,2019.0,107000,Automatique,Diesel,Peugeot,3008,12.425212191503038
160000.0,Marrakech,2023.0,50000,Automatique,Essence,Kia,Picanto,11.982935344196433
165000.0,Casablanca,2020.0,83000,Manuelle,Diesel,Ford,Fiesta,12.013706813470414
250000.0,Casablanca,2023.0,62712,Automatique,Hybride,Kia,Niro,12.429220196836383
238000.0,Casablanca,2021.0,110000,Automatique,Diesel,Kia,Ceed,12.380030154325457
235000.0,Casablanca,2021.0,50060,Automatique,Diesel,Kia,Ceed,12.367345048436391
190000.0,Casablanca,2021.0,65000,Automatique,Diesel,DS,3,12.154784614286667
340000.0,Casablanca,2016.0,126341,Automatique,Diesel,Audi,Q7,12.73670383776449
245000.0,Agadir,2022.0,990000,Manuelle,Diesel,Kia,Sportage,12.409017571151187
314000.0,Marrakech,2025.0,8071,Automatique,Diesel,Kia,Sportage,12.657151449598695
340000.0,Marrakech,2022.0,100000,Automatique,Diesel,Kia,Sportage,12.73670383776449
215000.0,Marrakech,2022.0,51000,Automatique,Hybride,Toyota,Corolla,12.278397958261774
